ICP_MS_Sample_Run,Sample_ID,Sample_Location,Date,Be_ugL,B_ugL,Al_ugL,P_ugL,V_ugL,Cr_ugL,Mn_ugL,Fe_ugL,Co_ugL,Ni_ugL,Cu_ugL,Zn_ugL,Ga_ugL,As_ugL,Se_ugL,Kr_ugL,Rb_ugL,Sr_ugL,Ag_ugL,Cd_ugL,Sn_ugL,Cs_ugL,Ba_ugL,La_ugL,Ce_ugL,Pr_ugL,Nd_ugL,Sm_ugL,Eu_ugL,Gd_ugL,Dy_ugL,Ho_ugL,Er_ugL,Tm_ugL,Yb_ugL,Lu_ugL,Ti_ugL,Pb_206_ugL,Pb_207_ugL,Pb_208_ugL,Th_ugL,U_ugL,Li_ugL,Mo_ugL
MS1,160931,QS,11/1/16,0.003,19.458,47.654,6.871,0.96,0.621,1.152,31.973,0.033,0.197,0.994,1.262,0.01,0.037,0.015,,0.27,17.338,0.002,0.02,,0.005,2.266,0.013,0.041,0.004,0.021,0.005,0.002,0.005,0.004,0.001,0.003,0,0.003,0,0.002,-0.003,-0.003,-0.003,0.022,0.001,0.124,0.015
MS2,160935,MPR,11/1/16,0.004,18.326,33.449,14.657,1.678,0.526,2.432,31.602,0.024,0.157,0.786,1.27,0.01,0.092,0.098,,0.849,55.663,0.001,0.03,,0.008,30.082,0.012,0.025,0.004,0.02,0.005,0.003,0.005,0.004,0.001,0.003,0,0.002,0,0.003,-0.008,-0.007,-0.007,0.01,0.002,0.283,0.180
MS3,160934,RI,11/1/16,0.004,16,33.53,9.835,0.428,0.485,65.869,190,0.329,0.111,1.681,3.149,0.013,0.023,0.016,,0.864,21.358,0.008,0.025,,0.017,14.428,0.019,0.047,0.006,0.026,0.005,0.003,0.007,0.008,0.002,0.006,0.001,0.007,0.001,0.006,0.048,0.045,0.047,0.008,0.003,0.209,0.082
MS4,160932,QP,11/1/16,0.003,16.808,53.346,8.901,2.023,0.685,3.261,49.358,0.046,0.229,0.85,2.6,0.013,0.044,0.014,,0.305,26.124,0.001,0.022,,0.004,2.794,0.013,0.03,0.005,0.023,0.005,0.002,0.008,0.006,0.001,0.003,0,0.003,0.001,0.001,-0.004,-0.004,-0.004,0.005,0.001,0.136,0.010
MS5,160930,QG,11/1/16,0.018,15.848,71.486,21.643,0.645,0.952,12.265,170,0.057,0.191,13.725,4.054,0.026,0.068,0.014,,0.894,13.798,0.007,0.019,,0.014,8.6,0.052,0.071,0.014,0.06,0.014,0.005,0.014,0.014,0.003,0.011,0.002,0.012,0.002,0.004,0.365,0.332,0.346,0.009,0.019,0.160,0.116
MS6,160767,QP,2/14/17,0.001,16.288,31.134,10.559,2.281,0.574,4.204,30.017,0.042,0.138,0.833,2.072,0.007,0.049,0.01,,0.293,28.831,0,0.011,,0.003,2.727,0.007,0.013,0.003,0.013,0.004,0.001,0.003,0.003,0.001,0.002,0,0.002,0,0.001,-0.006,-0.005,-0.006,0.003,0.001,0.088,0.009
MS7,160768,QS,2/14/17,0.001,14.24,23.101,6.862,0.892,0.465,0.754,16.952,0.022,0.1,0.635,1.078,0.007,0.031,0.009,,0.273,19.481,0.001,0.008,,0.004,2.24,0.007,0.012,0.002,0.011,0.003,0.001,0.003,0.002,0.001,0.002,0,0.001,0,0.001,-0.01,-0.009,-0.009,0.002,0,0.118,0.015
MS8,160769,QG,2/14/17,0.003,12.75,41.59,7.338,0.546,0.357,7.446,64.623,0.035,0.112,0.821,4.136,0.011,0.018,0.008,,0.752,12.687,0,0.016,,0.008,6.092,0.024,0.029,0.008,0.033,0.008,0.003,0.009,0.011,0.002,0.008,0.001,0.008,0.001,0.003,-0.006,-0.006,-0.006,0.002,0.001,0.159,0.042
MS9,160766,RI,2/14/17,0.005,12.256,27.08,7.967,0.478,0.377,60.423,160,0.314,0.098,0.608,3.014,0.007,0.018,0.006,,0.821,22.017,0,0.016,,0.016,9.366,0.011,0.025,0.004,0.015,0.004,0.002,0.005,0.005,0.001,0.004,0.001,0.004,0.001,0.005,-0.003,-0.001,-0.003,0.002,0.001,0.204,0.078
MS10,160764,MPR,2/14/17,0.004,15.039,14.076,19.013,1.831,0.455,2.209,22.476,0.022,0.124,1.159,1.583,0.007,0.103,0.075,,0.816,66.151,0.001,0.017,,0.008,35.792,0.005,0.007,0.001,0.008,0.002,0.002,0.002,0.002,0,0.001,0,0.001,0,0.003,-0.007,-0.006,-0.006,0.001,0.003,0.351,0.232
MS11,159412,QS,3/21/17,0.006,14.115,35.146,6.671,0.923,0.52,0.65,24.273,0.026,0.177,0.514,1.139,0.007,0.033,0.007,,0.273,19.313,0,0.005,,0.004,2.465,0.008,0.016,0.003,0.015,0.004,0.001,0.004,0.004,0.001,0.002,0,0.002,0,0.001,-0.01,-0.008,-0.009,0.001,0,0.128,0.014
MS12,159413,QP,3/21/17,0.005,14.159,61.706,8.71,2.298,0.648,2.734,44.571,0.045,0.195,0.885,1.816,0.012,0.042,0.007,,0.301,27.106,0,0.012,,0.003,2.738,0.01,0.018,0.004,0.019,0.005,0.002,0.006,0.005,0.001,0.003,0,0.003,0.001,0.001,-0.006,-0.005,-0.006,0.001,0.001,0.117,0.008
MS13,159410,MPR,3/21/17,0.004,14.312,29.764,13.733,1.649,0.464,1.524,28.695,0.022,0.127,0.712,1.395,0.008,0.078,0.07,,0.807,49.663,0.001,0.018,,0.009,27.943,0.01,0.015,0.003,0.015,0.004,0.002,0.004,0.004,0.001,0.002,0,0.002,0,0.003,-0.008,-0.008,-0.008,0,0.002,0.245,0.169
MS14,159409,RI,3/21/17,0,11.115,43.303,7.767,0.62,0.407,46.265,140,0.244,0.114,0.344,2.749,0.011,0.019,0.01,,0.811,19.511,0,0.018,,0.016,9.946,0.019,0.038,0.006,0.029,0.006,0.003,0.008,0.008,0.002,0.006,0.001,0.007,0.001,0.005,-0.006,-0.004,-0.005,0.001,0.001,0.181,0.064
MS15,159408,QG,3/21/17,0.005,11.924,50.743,7.805,0.545,0.39,5.845,58.074,0.033,0.091,0.288,2.543,0.013,0.018,0.015,,0.805,12.894,0,0.014,,0.009,8.001,0.029,0.034,0.009,0.039,0.009,0.004,0.01,0.012,0.003,0.009,0.001,0.009,0.002,0.003,-0.006,-0.005,-0.005,0.001,0.001,0.129,0.035
MS16,158156,QG,5/2/17,0.006,13.666,79.561,6.366,0.76,0.305,6.295,56.174,0.045,0.11,0.306,9.923,0.03,0.024,0.024,,0.726,9.964,0,0.008,,0.009,5.5,0.079,0.127,0.024,0.112,0.027,0.011,0.032,0.042,0.009,0.029,0.004,0.032,0.005,0.004,0.008,0.004,0.007,0.001,0.003,0.154,0.022
MS17,158154,RI,5/2/17,0.013,11.322,82.128,8.501,0.845,0.39,28.24,100,0.175,0.206,0.407,12.07,0.034,0.029,0.024,,0.709,11.6,0,0.01,,0.014,5.809,0.077,0.156,0.026,0.123,0.03,0.011,0.035,0.038,0.009,0.028,0.004,0.03,0.005,0.007,0.02,0.017,0.018,0.003,0.002,0.140,0.041
MS18,158155,QS,5/2/17,0.008,12.283,44.054,7.024,0.745,0.495,0.746,35.044,0.029,0.141,0.596,2.822,0.01,0.032,0.032,,0.232,12.367,0,0.005,,0.004,1.643,0.021,0.054,0.007,0.035,0.008,0.003,0.009,0.008,0.002,0.004,0.001,0.004,0.001,0.001,-0.001,0.001,-0.001,-0.001,0.001,0.111,0.012
MS19,158153,MPR,5/2/17,0.003,13.459,76.12,12.084,1.365,0.486,1.539,40.289,0.032,0.168,0.776,2.328,0.024,0.06,0.107,,0.742,34.052,0.001,0.006,,0.007,18.74,0.03,0.053,0.01,0.045,0.01,0.004,0.013,0.013,0.003,0.009,0.001,0.008,0.001,0.003,0.001,0.002,0.002,0,0.002,0.187,0.102
MS20,152854,QG,6/20/17,0.003,14.582,88.363,19.041,0.679,0.349,19.815,270,0.069,0.177,8.177,6.329,0.026,0.065,0.023,,0.828,12.654,0.003,0.007,,0.011,11.835,0.065,0.094,0.02,0.089,0.022,0.009,0.024,0.026,0.006,0.019,0.003,0.021,0.004,0.004,0.167,0.155,0.161,0,0.006,0.161,0.052
MS21,152864,QS,6/13/17,0.005,13.226,64.236,12.17,0.889,0.291,1.399,41.346,0.028,0.24,3.141,0.996,0.015,0.052,0.014,,0.271,16.538,0.002,0.002,,0.006,2.606,0.017,0.028,0.005,0.023,0.005,0.002,0.006,0.005,0.001,0.003,0,0.003,0,0.001,0.085,0.08,0.083,0.001,0.042,0.113,0.029
MS22,152839,QP,6/20/17,0.019,18.739,259.001,14.276,2.145,0.712,7.989,270,0.195,0.451,3.271,1.477,0.062,0.123,0.043,,0.388,18.018,0.001,0.004,,0.008,3.748,0.14,0.278,0.042,0.194,0.044,0.015,0.047,0.043,0.008,0.022,0.003,0.019,0.003,0.001,0.159,0.148,0.152,0.001,0.016,0.192,0.013
MS23,152866,RI,6/20/17,0.008,12.857,42.765,16.401,0.519,0.298,53.542,190,0.276,0.167,1.696,2.035,0.017,0.054,0.021,,0.859,17.944,0.003,0.01,,0.015,10.368,0.034,0.062,0.01,0.049,0.012,0.004,0.012,0.014,0.003,0.01,0.002,0.011,0.002,0.006,0.065,0.059,0.061,0,0.003,0.161,0.061
MS24,152841,QP,6/27/17,0.004,20.993,104.869,48.377,2.048,0.531,23.738,130,0.098,0.282,18.025,8.377,0.027,0.076,0.022,,0.331,25.387,0.005,0.01,,0.004,12.834,0.06,0.115,0.011,0.048,0.012,0.004,0.012,0.011,0.002,0.006,0.001,0.006,0.001,0.001,0.443,0.406,0.425,0.001,0.013,0.128,0.053
MS25,152833,RI,6/27/17,0.008,11.376,83.391,16.925,0.574,0.17,63.873,270,0.326,0.071,2.359,4.295,0.026,0.064,0.024,,0.846,19.833,0.005,0.013,,0.018,10.452,0.043,0.084,0.012,0.057,0.013,0.005,0.015,0.016,0.004,0.012,0.002,0.013,0.002,0.006,0.064,0.06,0.062,0.001,0.005,0.176,0.071
MS26,160758,QG,6/27/17,0.005,12.848,77.659,11.884,0.601,0.25,10.638,170,0.052,0.125,10.268,7.326,0.03,0.087,0.014,,0.812,12.803,0.002,0.013,,0.01,9.359,0.081,0.104,0.023,0.099,0.024,0.009,0.025,0.026,0.006,0.019,0.003,0.019,0.003,0.004,0.102,0.093,0.097,0.002,0.018,0.138,0.062
MS27,152828,MPR,6/27/17,0.003,13.872,89.79,24.512,1.742,0.346,3.744,96.814,0.055,0.205,4.477,2.118,0.027,0.096,0.084,,0.834,50.183,0.018,0.015,,0.013,29.303,0.026,0.047,0.007,0.031,0.008,0.003,0.009,0.008,0.002,0.004,0.001,0.004,0.001,0.003,0.136,0.124,0.129,0.001,0.008,0.272,0.190
MS28,152836,QS,6/27/17,0.004,13.567,70.392,11.331,0.881,0.542,2.094,91.389,0.045,0.234,2.534,0.437,0.019,0.043,0.022,,0.272,16.155,0.002,0.003,,0.006,2.751,0.023,0.048,0.007,0.031,0.007,0.003,0.007,0.007,0.001,0.004,0.001,0.003,0.001,0.001,0.036,0.033,0.035,-0.001,0.003,0.133,0.042
MS29,155960,QP,7/18/17,0.004,14.348,84.04,12.074,1.933,0.395,2.322,64.203,0.048,0.193,1.259,2.754,0.018,0.039,0.021,,0.282,22.673,0.002,0.015,,0.004,4.178,0.022,0.038,0.008,0.037,0.01,0.003,0.01,0.009,0.002,0.006,0.001,0.005,0.001,0.001,0,0,0,-0.002,0.002,0.109,0.109
MS30,155958,RI,7/18/17,0.004,11.555,55.639,13.552,0.537,0.302,43.457,130,0.229,0.138,2.251,2.869,0.035,0.047,0.025,,0.814,15.38,0.004,0.015,,0.016,7.409,0.13,0.236,0.033,0.128,0.025,0.007,0.024,0.023,0.005,0.016,0.002,0.016,0.003,0.007,0.057,0.051,0.054,0.007,0.005,0.183,0.068
MS31,152839,QP,6/13/17,0.003,14.115,66.898,22.482,2.088,0.294,4.123,270,0.05,0.163,2.369,2.377,0.016,0.087,0.015,,0.292,26.741,0.003,0.003,,0.004,3.164,0.017,0.031,0.006,0.028,0.007,0.002,0.008,0.006,0.001,0.004,0.001,0.004,0.001,0.001,0.072,0.068,0.07,0,0.003,0.086,0.014
MS32,155956,QG,7/18/17,0.004,11.977,69.769,10.388,0.544,0.058,6.855,80.323,0.036,0.1,1.633,6.239,0.02,0.026,0.018,,0.764,10.906,0.007,0.014,,0.01,5.643,0.049,0.064,0.016,0.069,0.017,0.008,0.02,0.027,0.006,0.02,0.003,0.022,0.004,0.004,0.024,0.023,0.023,0,0.003,0.147,0.031
MS33,155955,MPR,7/18/17,0.003,14.977,55.975,17.707,1.636,0.211,1.631,39.368,0.031,0.436,3.448,1.986,0.016,0.074,0.088,,0.685,39.128,0.028,0.022,,0.008,22.308,0.027,0.037,0.007,0.032,0.008,0.003,0.009,0.009,0.002,0.005,0.001,0.005,0.001,0.003,0.018,0.017,0.018,0,0.005,0.245,0.181
MS34,155929,MPR,8/9/17,0.003,13.908,23.407,14.81,1.478,0.124,0.963,17.98,0.017,0.082,2.239,1.454,0.007,0.084,0.1,,0.797,50.778,0.003,0.067,,0.007,29.527,0.011,0.015,0.003,0.015,0.004,0.002,0.004,0.004,0.001,0.002,0,0.002,0,0.003,-0.011,-0.01,-0.01,-0.001,0.005,0.259,0.160
